subject condition sample channel value hemisphere
R1292 c1 -58 ch131 -14.188882 left
R1292 c1 -57 ch48 6.615987 left
R1292 c1 -57 ch76 0.858127 left
R1292 c1 -57 ch77 -5.997115 left
R1292 c1 -57 ch79 -7.948710 left
R1292 c1 -57 ch80 3.664629 left
R1292 c1 -57 ch85 -4.069412 left
R1292 c1 -57 ch88 1.878483 left
R1292 c1 -57 ch90 19.406652 left
R1292 c1 -57 ch130 2.732650 left
R1292 c1 -57 ch131 -14.452856 left
R1292 c1 -56 ch48 7.161804 left
R1292 c1 -56 ch76 0.392740 left
R1292 c1 -56 ch77 -6.689901 left
R1292 c1 -56 ch79 -9.327117 left
R1292 c1 -56 ch80 3.105917 left
R1292 c1 -56 ch85 -3.671912 left
R1292 c1 -56 ch88 1.932978 left
R1292 c1 -56 ch90 18.462418 left
R1292 c1 -56 ch130 3.191948 left
R1292 c1 -56 ch131 -14.606479 left
R1292 c1 -55 ch48 7.705585 left
R1292 c1 -55 ch76 -0.065600 left
R1292 c1 -55 ch77 -7.345781 left
R1292 c1 -55 ch79 -10.624487 left
R1292 c1 -55 ch80 2.570912 left
R1292 c1 -55 ch85 -3.257831 left
R1292 c1 -55 ch88 1.914370 left
R1292 c1 -55 ch90 17.405027 left
R1292 c1 -55 ch130 3.639423 left
R1292 c1 -55 ch131 -14.643062 left
R1292 c1 -54 ch48 8.231778 left
R1292 c1 -54 ch76 -0.513762 left
R1292 c1 -54 ch77 -7.969975 left
R1292 c1 -54 ch79 -11.830792 left
R1292 c1 -54 ch80 2.070043 left
R1292 c1 -54 ch85 -2.834141 left
R1292 c1 -54 ch88 1.820659 left
R1292 c1 -54 ch90 16.234108 left
R1292 c1 -54 ch130 4.074446 left
R1292 c1 -54 ch131 -14.557276 left
R1292 c1 -53 ch48 8.724933 left
R1292 c1 -53 ch76 -0.948701 left
R1292 c1 -53 ch77 -8.567687 left
R1292 c1 -53 ch79 -12.937085 left
R1292 c1 -53 ch80 1.612984 left
R1292 c1 -53 ch85 -2.407956 left
R1292 c1 -53 ch88 1.651209 left
R1292 c1 -53 ch90 14.950522 left
R1292 c1 -53 ch130 4.496502 left
R1292 c1 -53 ch131 -14.345273 left
R1292 c1 -52 ch48 9.169991 left
R1292 c1 -52 ch76 -1.367524 left
R1292 c1 -52 ch77 -9.144081 left
R1292 c1 -52 ch79 -13.935550 left
R1292 c1 -52 ch80 1.208512 left
R1292 c1 -52 ch85 -1.986479 left
R1292 c1 -52 ch88 1.406823 left
R1292 c1 -52 ch90 13.556417 left
R1292 c1 -52 ch130 4.905169 left
R1292 c1 -52 ch131 -14.004787 left
R1292 c1 -51 ch48 9.552534 left
R1292 c1 -51 ch76 -1.767501 left
R1292 c1 -51 ch77 -9.704165 left
R1292 c1 -51 ch79 -14.819568 left
R1292 c1 -51 ch80 0.864370 left
R1292 c1 -51 ch85 -1.576911 left
R1292 c1 -51 ch88 1.089738 left
R1292 c1 -51 ch90 12.055272 left
R1292 c1 -51 ch130 5.300064 left
R1292 c1 -51 ch131 -13.535137 left
R1292 c1 -50 ch48 9.859066 left
R1292 c1 -50 ch76 -2.146114 left
R1292 c1 -50 ch77 -10.252728 left
R1292 c1 -50 ch79 -15.583774 left
R1292 c1 -50 ch80 0.587161 left
R1292 c1 -50 ch85 -1.186333 left
R1292 c1 -50 ch88 0.703662 left
R1292 c1 -50 ch90 10.451874 left
R1292 c1 -50 ch130 5.680794 left
R1292 c1 -50 ch131 -12.937300 left
R1292 c1 -49 ch48 10.077226 left
R1292 c1 -49 ch76 -2.501083 left
R1292 c1 -49 ch77 -10.794253 left
R1292 c1 -49 ch79 -16.224092 left
R1292 c1 -49 ch80 0.382236 left
R1292 c1 -49 ch85 -0.821645 left
R1292 c1 -49 ch88 0.253709 left
R1292 c1 -49 ch90 8.752330 left
R1292 c1 -49 ch130 6.046906 left
R1292 c1 -49 ch131 -12.213906 left
R1292 c1 -48 ch48 10.196044 left
R1292 c1 -48 ch76 -2.830360 left
R1292 c1 -48 ch77 -11.332851 left
R1292 c1 -48 ch79 -16.737740 left
R1292 c1 -48 ch80 0.253613 left
R1292 c1 -48 ch85 -0.489427 left
R1292 c1 -48 ch88 -0.253603 left
R1292 c1 -48 ch90 6.964028 left
R1292 c1 -48 ch130 6.397858 left
R1292 c1 -48 ch131 -11.369219 left
R1292 c1 -47 ch48 10.206082 left
R1292 c1 -47 ch76 -3.132213 left
R1292 c1 -47 ch77 -11.872231 left
R1292 c1 -47 ch79 -17.123226 left
R1292 c1 -47 ch80 0.203946 left
R1292 c1 -47 ch85 -0.195865 left
R1292 c1 -47 ch88 -0.810457 left
R1292 c1 -47 ch90 5.095557 left
R1292 c1 -47 ch130 6.732974 left
