subject condition sample channel value hemisphere
R1292 c1 -61 ch76 12.154558 left
R1292 c1 -61 ch77 13.813240 left
R1292 c1 -61 ch79 -0.532957 left
R1292 c1 -61 ch80 11.818203 left
R1292 c1 -61 ch85 -11.786057 left
R1292 c1 -61 ch88 -14.358631 left
R1292 c1 -61 ch90 6.297069 left
R1292 c1 -61 ch130 22.165482 left
R1292 c1 -61 ch131 10.579494 left
R1292 c1 -60 ch48 -3.024739 left
R1292 c1 -60 ch76 11.175116 left
R1292 c1 -60 ch77 14.640094 left
R1292 c1 -60 ch79 -0.186171 left
R1292 c1 -60 ch80 13.478830 left
R1292 c1 -60 ch85 -10.519366 left
R1292 c1 -60 ch88 -13.779201 left
R1292 c1 -60 ch90 6.372432 left
R1292 c1 -60 ch130 23.614849 left
R1292 c1 -60 ch131 11.917669 left
R1292 c1 -59 ch48 -1.844584 left
R1292 c1 -59 ch76 10.166050 left
R1292 c1 -59 ch77 15.374886 left
R1292 c1 -59 ch79 0.173343 left
R1292 c1 -59 ch80 15.033586 left
R1292 c1 -59 ch85 -9.137247 left
R1292 c1 -59 ch88 -13.044472 left
R1292 c1 -59 ch90 6.433766 left
R1292 c1 -59 ch130 24.941256 left
R1292 c1 -59 ch131 13.254955 left
R1292 c1 -58 ch48 -0.700221 left
R1292 c1 -58 ch76 9.126854 left
R1292 c1 -58 ch77 16.015718 left
R1292 c1 -58 ch79 0.543615 left
R1292 c1 -58 ch80 16.476917 left
R1292 c1 -58 ch85 -7.654701 left
R1292 c1 -58 ch88 -12.159455 left
R1292 c1 -58 ch90 6.475665 left
R1292 c1 -58 ch130 26.141052 left
R1292 c1 -58 ch131 14.574026 left
R1292 c1 -57 ch48 0.405179 left
R1292 c1 -57 ch76 8.057062 left
R1292 c1 -57 ch77 16.561171 left
R1292 c1 -57 ch79 0.922846 left
R1292 c1 -57 ch80 17.804497 left
R1292 c1 -57 ch85 -6.087847 left
R1292 c1 -57 ch88 -11.130811 left
R1292 c1 -57 ch90 6.492902 left
R1292 c1 -57 ch130 27.211458 left
R1292 c1 -57 ch131 15.857428 left
R1292 c1 -56 ch48 1.468873 left
R1292 c1 -56 ch76 6.956332 left
R1292 c1 -56 ch77 17.010330 left
R1292 c1 -56 ch79 1.309381 left
R1292 c1 -56 ch80 19.013254 left
R1292 c1 -56 ch85 -4.453744 left
R1292 c1 -56 ch88 -9.966792 left
R1292 c1 -56 ch90 6.480498 left
R1292 c1 -56 ch130 28.150457 left
R1292 c1 -56 ch131 17.087820 left
R1292 c1 -55 ch48 2.488559 left
